Assignment: GS 540 HW2
Name: David Bacsik
2433028 2435342 264.80
2435950 2467259 2969.25
2467754 2470765 314.62
2471444 2473266 197.25
2473674 2482284 612.15
2482991 2486070 272.25
2487215 2488994 163.76
2489648 2496375 527.20
2497980 2516153 1447.98
2517245 2548649 3166.73
2550149 2592793 3653.30
2594458 2594867 34.97
2596605 2597568 39.42
2599696 2600904 42.81
2602116 2604092 165.91
2605274 2611722 348.31
2612524 2614218 173.48
2615541 2626998 855.52
2628623 2636012 694.05
2637311 2641367 274.06
2642783 2652112 1052.06
2653602 2657401 440.60
2659471 2666862 608.18
2667594 2679363 914.58
2680476 2681062 39.41
2681617 2716075 2737.22
2716653 2721247 238.88
2721884 2727151 357.78
2728007 2733671 386.73
2734614 2735335 48.76
2735990 2746781 834.25
2747508 2751859 347.05
2753841 2755429 146.81
2757888 2792898 2954.73
2793414 2814269 1660.21
2815101 2830095 1186.38
2830752 2857112 2287.19
2858060 2867069 754.11
2867896 2870083 191.91
2870573 2871891 138.44
2872848 2875557 136.05
2875993 2903661 2424.00
2904574 2950624 3948.30
2951209 2961713 931.91
2963676 2978344 1338.42
2978707 2981075 236.45
2981770 3015519 3815.79
3016615 3046763 3152.71
3047245 3050609 255.23
3052735 3053559 323.20
3054698 3080298 2941.64
3081148 3082259 336.91
3083281 3083692 49.95
3085855 3088625 360.60
3089130 3095427 550.28
3096108 3124483 2905.06
3125250 3145898 2032.43
3147959 3148867 122.11
3149783 3176766 3011.57
3177310 3177747 39.43
3178707 3199689 1887.72
3200159 3206803 616.54
3207476 3217578 1278.78
3218117 3223412 781.17
3225070 3230595 638.44
3231856 3232599 158.82
3233271 3248802 1807.79
3249365 3253227 431.20
3255033 3274530 1993.21
3276236 3289128 1664.81
3290117 3296681 509.81
3297938 3322843 2724.17
3323356 3353361 3021.25
3353866 3358647 333.69
3360683 3362454 138.96
3363192 3367491 371.57
3369568 3432826 6854.56
3433360 3438250 390.94
3439125 3458768 2226.90
3459950 3467422 617.95
3467798 3479532 683.04
3480100 3483143 338.37
3483588 3484900 95.94
3485482 3501857 1573.49
3502480 3539083 3639.05
3540387 3559175 2068.76
3559998 3571311 941.94
3572589 3588722 1442.53
3591527 3598539 512.99
3599701 3600153 34.46
3600713 3617245 1735.19
3617782 3626936 1181.64
3627759 3631651 524.49
3632279 3657702 2317.40
3658721 3667536 992.29
3668717 3680198 878.63
3680703 3691699 867.17
3693055 3700421 605.70
3700887 3740365 4510.50
3741028 3748967 954.87
3749896 3756954 667.05
3758049 3771256 1071.10
3771693 3795504 2372.80
3796941 3807364 1001.67
3808837 3819805 1088.50
3821746 3847748 1898.35
3848579 3854476 434.73
3855221 3857417 114.07
3858265 3862010 431.08
3862696 3866813 369.64
3869465 3907244 3745.36
3907732 3979082 8882.44
3979713 3990317 1468.64
3991056 4014795 3132.99
4015622 4045744 3704.32
4047349 4099162 7207.13
4099594 4125231 3147.19
4125791 4166660 5151.35
4167391 4182778 2263.31
4183336 4218807 3818.10
4219278 4251563 3202.37
4252447 4266117 1051.53
4268044 4268599 50.15
4270295 4296142 1905.54
4296752 4299728 411.32
4300481 4307731 378.33
4308488 4316762 693.53
4317604 4326425 685.16
4326976 4338180 762.00
4339148 4365392 2779.27
4366071 4401714 3096.48
4403346 4438028 3250.28
4440156 4441645 175.88
4442060 4447650 170.96
4449037 4473727 2190.39
4474207 4481587 838.87
4482437 4487403 523.93
4488599 4542982 5037.60
4544993 4559798 1782.69
4560375 4572072 1230.79
4572516 4575648 435.17
4576190 4586498 1264.41
4587153 4607131 1890.09
4607820 4612413 432.96
4612952 4613514 58.32
4614569 4619614 671.85
4620178 4635043 1163.11
4635808 4642260 710.11
4643517 4648565 381.12
4649450 4688224 3603.43
4688930 4692942 323.60
4693789 4697857 340.33
4698353 4709799 1121.69
4711154 4723258 1255.82
4724335 4727423 322.64
4728227 4733368 500.22
4734442 4736294 231.00
4737263 4756193 2632.50
4756708 4758300 168.58
4759007 4772172 1387.13
4773505 4792812 1886.47
4793620 4802179 610.09
4804561 4836974 2918.31
4837443 4842945 708.96
4843548 4850518 791.90
4853737 4870621 1450.06
4871645 4889918 2335.89
4891265 4894023 308.92
4894378 4900359 458.90
4902061 4926652 2663.06
4927562 4934628 678.69
4935405 4937992 182.54
4940019 4981531 4004.78
4981991 5000903 2494.15
5001777 5018471 1914.15
5019966 5025827 759.84
5026927 5030237 513.39
5030667 5046336 2325.91
5046857 5094859 5238.43
5095492 5156169 6603.49
5157072 5170622 1281.61
5170963 5185228 1294.42
5186221 5226751 4034.97
5227343 5341979 13378.43
5342621 5371871 3231.64
5372543 5389275 2134.32
5390107 5403023 1285.75
5404647 5551071 18751.79
5552184 5624572 9204.35
5625292 5628366 443.28
5629454 5642927 1598.96
5643951 5659247 1496.24
5659821 5674370 1941.18
5675012 5677661 256.22
5678211 5736648 6486.99
5737257 5744250 549.27
5745309 5754790 771.60
5755287 5756417 54.79
5756790 5763206 810.58
5763833 5784635 2250.51
5785178 5786556 190.09
5787133 5835287 5189.64
5835887 5867362 3490.14
5867894 5869933 79.58
5871260 5894302 2323.91
5894949 5897291 194.61
5898328 5933624 3671.85
5934988 5953300 1956.61
5954075 5973297 2003.32
5974464 5983892 1007.34
5984501 6043527 5744.54
6044212 6092064 5548.68
6093038 6124299 3060.99
6125046 6126403 72.10
6126862 6128902 163.27
6130526 6139716 559.33
6140136 6204213 6861.24
6205352 6219393 1613.52
6220205 6223133 312.38
6223957 6260665 4355.41
6261411 6271073 964.29
6271982 6276291 302.40
6277165 6280047 255.60
6280569 6288264 732.48
6288883 6328756 4064.79
6329253 6347092 1612.01
6348109 6350778 242.86
6351537 6358216 522.92
6359353 6394135 3557.14
6395544 6458789 6744.09
6460361 6483528 2450.14
6484029 6533225 5088.55
6534012 6537157 299.68
6538336 6541105 241.63
6544440 6559381 1512.25
6561085 6616436 6135.80
6617473 6630550 1012.17
6631123 6679164 4925.14
6679693 6723387 5194.86
6723905 6730432 904.61
6731384 6786436 6002.40
6786950 6787551 116.18
6787988 6847788 6521.99
6848466 6854561 686.93
6855431 6878827 1725.53
6879323 6898903 2171.27
6900253 6907368 780.11
6907996 6917691 868.94
6918527 6921799 308.21
6923716 6925172 172.40
6927415 6945316 1686.28
6947699 6988317 4523.49
6990291 7003808 1294.76
7004526 7012051 779.63
7012627 7015113 350.82
7015670 7041366 2494.62
7041815 7053394 1221.07
7054050 7074462 2275.11
7075453 7080250 1155.79
7080857 7087632 473.66
7088207 7093090 478.70
7093982 7094728 45.86
7095628 7110926 1352.70
7111653 7114246 281.54
7115322 7116044 68.90
7116595 7117611 115.89
7118055 7120150 126.50
7121274 7123162 135.08
7123727 7127680 458.46
7128137 7128917 36.84
7129570 7137419 874.79
7138086 7141015 275.85
7143043 7146206 399.96
7146814 7154361 839.04
7155923 7164319 826.20
7166176 7176638 813.32
7177458 7184609 467.96
7185834 7192575 745.13
7193021 7197252 559.25
7198490 7199676 88.24
7200023 7200597 53.85
7201396 7210647 897.01
7211797 7218172 892.37
7219143 7232318 1290.13
7232934 7233514 52.56
7233973 7253333 1943.84
7255802 7281719 2230.11
7282379 7284186 343.17
7284638 7287183 339.70
7287975 7296182 1060.02
7298331 7306930 795.69
7309027 7309739 78.32
7310315 7311156 70.94
7312123 7314723 264.44
7316031 7320264 330.83
7321360 7340206 1789.81
7341036 7341473 36.08
7341849 7342479 33.48
7344420 7348301 559.61
7349234 7349671 48.48
7350381 7368945 1536.53
7369742 7382222 1335.25
7383373 7386976 352.20
7388337 7420647 4404.50
7420957 7443189 1925.97
7443733 7452150 876.37
7452855 7464749 1195.91
7465720 7466669 91.64
7467239 7474892 1160.76
7475466 7475836 39.55
7477393 7484967 1237.60
7485636 7517735 3137.97
7520615 7530599 822.60
7531461 7553961 2131.05
7555627 7579430 2493.07
7579980 7602463 1967.33
7603066 7608137 383.22
7609281 7620213 1077.76
7621310 7628721 830.73
7629248 7634190 473.59
7635254 7644347 788.85
7644951 7698744 6097.27
7699382 7737233 4444.40
7739887 7741337 126.10
7741992 7744980 474.43
7748479 7749189 35.71
7752738 7756404 298.85
7760024 7786678 3448.11
7789207 7812391 2725.19
7812917 7818927 611.17
7819845 7832529 1534.04
7833175 7834705 143.72
7835535 7857546 2540.18
7857911 7860515 312.94
7860963 7861994 106.84
7862524 7893202 2879.09
7893863 7904862 961.46
7907347 7919015 1372.00
7919895 7942009 2463.16
7943170 7967104 2705.67
7968074 7982202 1423.10
7983539 8010877 3163.82
8011400 8012688 113.90
8013860 8024547 1253.07
8026575 8028738 127.99
8030281 8046578 1759.03
8047206 8054618 645.66
8056009 8065572 814.68
8067172 8082182 1464.48
8082678 8092591 1057.45
8093608 8117642 2357.09
8118053 8120724 261.12
8121201 8145395 3043.53
8146117 8150112 548.06
8151836 8170949 2010.19
8171737 8196858 2901.80
8197517 8198536 110.09
8199546 8246619 4326.12
8247970 8250403 389.19
8251558 8266913 1728.56
8267412 8276874 1223.53
8277590 8280871 259.56
8281641 8286382 663.72
8287399 8296016 535.77
8296542 8335436 4429.49
8335841 8338887 262.23
8339799 8357021 1520.26
8357408 8414099 6973.44
8414673 8450773 4515.74
8451389 8453240 244.74
8454375 8495994 4223.37
8496478 8532476 3272.01
8534962 8541536 733.23
8542030 8574229 4097.35
8575146 8580883 625.94
8581290 8590600 948.30
8591353 8621351 3610.93
8622020 8626659 510.17
8626936 8648153 2222.86
8649655 8702226 5732.27
8703073 8743445 4912.14
8744298 8763514 2082.57
8764039 8788553 3212.98
8789540 8791092 85.94
8791974 8806562 1775.92
8807058 8819541 1324.10
8820067 8827056 740.99
8827597 8832061 571.62
8832772 8836038 429.76
8837140 8868659 3859.70
8869590 8881102 1179.37
8881620 8905175 2356.33
8905762 8906229 43.42
8907580 8924044 1954.88
8926966 9017214 10062.92
9017868 9117857 9908.38
9118609 9123807 600.54
9124534 9127802 267.03
9130155 9143015 1320.78
9144082 9177527 3127.62
9178461 9187781 1106.88
9188334 9191301 354.41
9192135 9199026 727.58
9199390 9244039 3938.70
9244570 9277050 2805.34
9278227 9297749 1642.00
9298338 9332382 3089.24
9333768 9348622 1464.87
9349378 9374151 2347.63
9374644 9382644 764.45
9383188 9395303 1301.83
9395908 9397179 99.02
9397805 9419423 1553.39
9419901 9429840 1005.73
9430638 9458147 2305.48
9460406 9462592 189.00
9467187 9477457 944.04
9478046 9486306 557.54
9486991 9496058 903.47
9496613 9499165 226.41
9499546 9519299 1685.82
9525344 9527505 106.80
9527953 9548472 1817.56
9549489 9554945 496.71
9556326 9584100 3244.23
9585078 9607981 2104.16
9608927 9640343 2857.57
9640991 9650915 900.49
9651567 9664235 1098.55
9665377 9673930 965.06
9674537 9739937 7462.31
9740348 9752139 1507.33
9752657 9755033 214.95
9755490 9784614 3927.06
9784991 9831409 5240.98
9831976 9885902 6110.96
9886796 9895844 1060.51
9898080 9899979 269.57
9900779 9908177 1001.37
9908565 9912174 334.27
9912727 9913284 53.29
9913914 9960480 5054.73
9961241 9979316 2307.05
9979893 10014570 4356.19
10014823 10023094 953.95
10023683 10062094 3752.74
10062552 10084128 2590.15
10084575 10100996 1800.60
10102425 10109658 939.47
10110222 10130868 1879.19
10131216 10203354 8446.78
10203771 10305551 11329.04
10305926 10325882 2014.59
10327456 10328881 89.34
10329769 10449327 11289.56
10449811 10456585 759.10
10457590 10474437 1491.25
10474895 10509285 3575.38
10511138 10521738 868.04
10522829 10553708 2927.89
10554461 10586456 2260.31
10587080 10600409 986.19
10601306 10601998 46.80
10602968 10604530 121.23
10604906 10622438 1080.23
10623461 10632287 871.52
10634022 10642009 937.59
10642570 10662136 2179.91
10663097 10668131 626.83
10669634 10684586 1728.91
10686060 10807532 13372.33
10808059 10875871 6352.50
10876785 10933905 6545.19
10934363 10940212 538.18
10940815 10971164 2748.46
10971735 11028141 4589.53
11036666 11042190 496.79
11042608 11051639 1007.00
11052174 11095631 3476.24
11097370 11131252 3044.59
11132216 11143257 1165.64
11145409 11160820 1654.40
11161263 11190863 3159.80
11191329 11192327 64.57
11194828 11203861 769.84
11204461 11214612 1147.11
11215739 11217555 93.81
11218958 11219449 39.77
11220718 11253357 2700.73
11253717 11277489 1992.18
11278181 11282296 356.08
11282696 11291848 938.54
11292412 11326380 2970.19
11327111 11337785 869.35
11338893 11353030 1473.39
11353621 11380440 2437.78
11383282 11416025 3123.40
11416964 11446464 2786.51
11447715 11451731 383.12
11452175 11461109 1097.03
11461972 11479749 1483.30
11480311 11481062 47.79
11482764 11501572 1661.57
11502546 11504552 216.87
11505302 11557406 4781.93
11557737 11564264 338.14
11566243 11578153 1229.54
11581424 11594538 1213.19
11595395 11597946 244.64
11598337 11600666 204.41
11601936 11613391 872.25
11614149 11614903 50.92
11615726 11626908 982.43
11627433 11652497 2486.44
11655570 11692157 3413.11
11694269 11722170 2323.08
11724388 11746571 1940.15
11747489 11749096 105.62
11750517 11751671 124.20
11752395 11755931 372.56
11756445 11765383 855.42
11767622 11769206 258.68
11769901 11806408 3559.65
11807058 11814163 515.70
11815436 11822347 489.52
11822856 11859661 2989.16
11860523 11876098 1232.35
11876542 11900362 1967.53
11901104 11912990 957.17
11913958 11923997 463.02
11925097 11957427 2531.99
11958196 11962048 189.40
11962672 11966541 340.72
11967609 11969407 94.79
11970166 11972969 209.76
11973743 11991563 1610.96
11992410 11994879 306.95
11996299 11998606 105.04
11999675 12007834 318.84
12008569 12010542 61.95
12012463 12013519 69.21
12014033 12040927 1992.15
12041467 12070108 2537.79
12071003 12078683 389.06
12079586 12083009 250.02
12083391 12090122 419.81
12090820 12093366 237.79
12095188 12101280 564.28
12101754 12114557 1236.39
12115043 12124024 583.76
12124662 12147114 2508.23
12149139 12164655 1412.42
12165826 12167703 153.18
12168639 12184470 1507.01
12185087 12185768 60.80
12186342 12188645 107.06
12189425 12208166 1355.22
12208661 12209544 57.01
12211653 12227208 1304.25
12228940 12229883 42.87
12231655 12253959 1745.04
12254707 12257639 171.61
12258272 12272061 1220.66
12273015 12276499 220.62
12278458 12279308 72.65
12279943 12282688 225.56
12283226 12283814 33.86
12284381 12286482 108.55
12287258 12295588 770.86
12296172 12303115 788.25
12306351 12308692 228.89
12309423 12312783 379.86
12313602 12336088 2014.19
12337071 12344472 589.50
12347507 12348133 57.07
12348701 12351177 108.75
12351771 12352500 57.14
12358770 12379736 1535.85
12380448 12403706 1850.97
12404489 12406091 83.07
12406901 12430089 1684.32
12430726 12432142 107.34
12432822 12434521 136.88
12435027 12462347 1982.94
12463592 12465190 126.78
12465998 12473518 543.35
12474837 12476530 101.95
12479153 12495084 1147.84
12495641 12496905 54.01
12498011 12500605 94.50
12501691 12506096 350.72
12506928 12527883 1965.51
12528502 12554730 2370.47
12555894 12558626 282.88
12559095 12568513 794.30
12569379 12579319 719.54
12580257 12592469 1057.72
12594141 12602046 550.25
12602763 12603991 110.13
12606646 12627516 1749.75
12629331 12652735 1736.64
12653179 12654255 35.53
12654877 12692486 2984.43
12694045 12699000 437.64
12701730 12706153 354.79
12706531 12750697 3844.27
12751120 12755352 409.50
12755979 12764925 857.73
12765133 12771727 724.20
12773028 12782916 693.78
12784677 12785240 45.95
12786832 12789055 118.82
12790674 12816689 1917.62
12817125 12822634 339.27
12823790 12829509 511.36
12830272 12834687 387.35
12835452 12841241 359.18
12842025 12865503 2201.84
12866066 12875750 1077.61
12876232 12877023 60.69
12878967 12887480 587.31
12888257 12912381 1747.29
12913547 12920737 753.16
12923566 12925476 188.12
12926101 12964840 3258.33
12966486 13024950 4503.48
13025652 13027795 118.18
13028382 13047132 1789.23
13047494 13050232 121.24
13051010 13056789 253.65
13057644 13068467 1085.97
13069093 13070776 39.85
13072359 13080450 468.12
13082863 13086792 343.18
13089963 13116564 2207.83
13117208 13118969 67.87
13119874 13127510 519.06
13128355 13142574 1025.96
13143189 13145736 207.08
13146338 13149852 252.17
13152664 13160888 673.14
13161611 13162297 60.45
13164063 13168089 306.05
13168756 13196699 2058.30
13197063 13210078 669.94
13210602 13215655 374.37
13216213 13220463 312.06
13220842 13228658 754.88
13229513 13233425 118.99
13233941 13241835 655.22
13243182 13245853 199.12
13247296 13257522 911.74
13258341 13260697 138.73
13261355 13271853 742.50
13272616 13274884 193.33
13275787 13278939 359.27
13279737 13291820 751.30
13294803 13314831 1525.23
13316302 13336689 1515.37
13337878 13358215 1240.59
13359150 13370318 994.38
13373016 13382465 886.49
13382969 13385317 252.53
13386687 13402589 814.42
13403161 13414967 869.91
13415647 13427875 522.70
13430552 13459729 2390.36
13460539 13462562 176.01
13463204 13489938 1983.27
13490692 13494150 257.66
13495096 13503476 602.59
13505909 13521323 1155.72
13522603 13525145 118.62
13526013 13531643 406.76
13532352 13540762 289.08
13541989 13553895 945.18
13554458 13557370 212.34
13558300 13563047 294.90
13564150 13569562 321.20
13570249 13578837 532.11
13580395 13585060 288.76
13588847 13596232 385.24
13599641 13617978 1177.66
13619064 13622951 404.57
13623472 13627185 295.42
13628855 13656896 2099.15
13657482 13676656 1562.46
13677288 13684840 614.78
13688837 13689633 67.45
13690218 13692984 307.17
13693960 13695862 44.97
13696943 13699714 268.24
13701036 13704562 312.31
13704861 13713835 734.03
13715580 13771928 4606.07
13772579 13783772 1154.89
13785162 13804165 1217.50
13805485 13815867 961.84
13816257 13832709 1434.24
13833365 13840695 560.85
13842074 13862633 1810.41
13863630 13906604 3148.58
13907317 13928270 1813.19
13928835 13931827 309.35
13933168 13934032 71.49
13936302 13941093 525.71
13941609 13948135 381.25
13949459 13956723 391.06
13957416 13972446 1032.70
13972998 13978016 482.72
13979342 13982998 412.14
13983800 13987314 322.78
13988160 14007714 1301.69
14009287 14014304 281.92
14015246 14030230 1098.39
14032943 14034576 124.23
14041315 14042576 96.09
14044481 14051981 407.57
14052624 14077231 1990.30
14078703 14085269 505.41
14086718 14088783 97.45
14089118 14091417 198.57
14092562 14110124 1485.22
14110627 14135082 2088.29
14135624 14144411 781.84
14146547 14148908 96.68
14150086 14176822 2218.61
14177787 14189859 955.23
14191588 14195018 300.08
14195556 14200515 351.96
14203269 14204316 61.14
14206558 14207244 52.74
14207983 14212385 441.26
14212928 14227140 1360.33
14227568 14234306 516.33
14234898 14245856 857.15
14246679 14256671 626.92
14257300 14267213 865.23
14268088 14273752 526.05
14275650 14280536 323.63
14281687 14295564 1087.41
14296306 14309771 1098.73
14310968 14316727 439.58
14319491 14333898 1228.12
14335206 14396713 4546.17
14397446 14398777 41.86
14399819 14415274 1424.37
14416546 14430953 1208.06
14431786 14432913 41.79
14433471 14439703 606.76
14440394 14445001 313.33
14445674 14449045 153.09
14449595 14454867 336.72
14455504 14461550 457.14
14462661 14489594 1874.04
14490206 14491266 68.95
14491957 14494804 255.25
14495305 14511409 1410.07
14512628 14515713 216.27
14516190 14540469 2018.66
14541262 14548350 554.76
14550345 14556606 430.54
14558656 14561410 176.89
14563587 14592621 2296.19
14596568 14597820 91.90
14598284 14610591 1143.67
14611284 14612108 64.93
14612797 14613798 46.79
14614669 14616169 149.96
14617595 14633268 1135.47
14633901 14637503 367.74
14638702 14685543 3825.54
14686419 14699298 1382.50
14699977 14701410 128.71
14701980 14711495 648.35
14713175 14718736 533.95
14720052 14726578 436.30
14727362 14733390 673.50
14734424 14776265 3539.64
14776869 14790924 993.85
14793462 14794054 47.74
14795119 14798615 92.71
14799267 14801959 111.27
14803037 14813649 840.09
14814795 14870640 4953.93
14871262 14883480 998.07
14884057 14891957 783.13
14892731 14899283 587.39
14900381 14902460 230.57
14903434 14933733 2413.94
14934116 14937597 339.89
14938797 14948989 902.48
14951082 14955680 414.10
14956696 14960618 232.43
14960959 14961570 35.11
14963658 14965343 59.23
14966733 14968479 57.43
14969274 14981193 1230.89
14981740 15012857 2400.53
15013378 15028351 1648.36
15029002 15031886 227.78
15032384 15036727 529.59
15037311 15045916 675.33
15046351 15062944 1421.18
15064219 15090847 2080.08
15091866 15105261 1124.50
15106131 15145463 3532.54
15147935 15150191 236.68
15150656 15163935 1398.87
15164770 15202489 3441.90
15202988 15231478 3085.85
15232424 15240321 565.22
15241720 15244335 147.81
15245089 15249273 431.09
15251057 15262734 1030.30
15264431 15275461 674.17
15276119 15303996 2880.55
15304640 15322867 1682.95
15323904 15408874 9373.37
15409516 15425555 1556.17
15426053 15440103 1323.47
15440679 15447717 502.38
15448478 15466264 1141.07
15467239 15470065 317.48
15470630 15482479 736.37
15483632 15505721 1315.80
15508102 15519721 685.15
15520158 15530403 920.75
15531133 15540213 923.14
15541591 15571814 3258.62
15572714 15574564 234.32
15575148 15579680 315.11
15580173 15587233 655.75
15588898 15591506 258.84
15592669 15607255 984.43
15609129 15626883 1510.22
15628222 15631013 220.77
15631865 15650970 1932.81
15651403 15652557 71.91
15653639 15663078 568.45
15663681 15674618 1362.17
15675281 15678048 144.99
15678497 15683768 571.31
15684995 15685996 66.39
15686587 15689173 278.61
15690343 15691143 53.22
15691771 15693191 57.99
15693837 15700437 337.91
15703737 15717508 1218.16
15718271 15720382 305.69
15721810 15743238 2190.39
15744069 15747638 261.56
15748399 15770031 1954.44
15771493 15791883 2060.57
15792418 15820657 3071.33
15821382 15835285 1259.58
15836924 15847761 1088.20
15849475 15863590 1482.90
15864468 15879110 1808.79
15879665 15882578 309.07
15883523 15902527 1358.52
15903620 15980565 8589.32
15981034 15991207 973.18
15991893 15995808 253.45
15996275 15997813 166.68
15999189 16003314 432.21
16003806 16009904 622.68
16010542 16011310 85.23
16012014 16029336 1672.16
16029719 16030334 40.49
16030994 16039847 1129.63
16041077 16048562 681.46
16049343 16052420 349.49
16053181 16056745 252.55
16057255 16064127 601.92
16064842 16074400 2375.81
16075054 16099224 2266.57
16099735 16118324 2228.64
16120063 16215238 9635.17
16216381 16231655 1752.62
16232163 16255645 1888.91
16257216 16284374 2381.95
16284758 16310071 2285.76
16311613 16327774 1385.86
16328437 16334445 759.20
16334965 16380034 5275.37
16380378 16394681 1831.41
16395920 16438851 5556.96
16440086 16471999 3374.92
16472535 16483823 1484.33
16484306 16492344 758.49
16492770 16493880 115.10
16494470 16505455 1212.14
16506697 16515314 645.55
16515999 16520898 319.49
16521599 16528688 972.26
16529440 16533907 317.79
16534353 16540797 791.44
16541461 16556752 1438.30
16557200 16569968 1300.06
16571027 16583923 688.73
16584557 16592731 510.89
16593643 16602716 772.17
16603065 16633066 2775.69
16634622 16640468 452.43
16641687 16706600 6073.10
16707482 16709511 171.55
16709921 16711080 74.44
16712268 16713205 86.46
16732140 16745693 1574.01
16746631 16747373 74.28
16749310 16894040 16629.14
16894779 16936037 4823.64
16936561 16945377 1169.25
16946420 17052653 14334.23
17053184 17061259 1093.78
17061840 17108657 5453.13
17110177 17140238 3048.14
17141807 17166391 2835.24
17166972 17174996 794.10
17175501 17183361 843.54
17184579 17206520 1961.36
17207348 17230402 2300.95
17231275 17263537 3224.01
17264292 17264667 41.36
17264999 17271817 756.42
17272486 17286863 1942.49
17287366 17345130 7686.63
17346617 17379911 4546.37
17380526 17397297 1763.29
17400539 17407072 774.29
17407793 17409211 94.68
17409950 17480990 6703.27
17481367 17494434 1099.52
17495519 17550083 5871.53
17550675 17554804 570.02
17555300 17559501 488.74
17560253 17572698 1530.60
17573257 17584283 1373.16
17586603 17587754 163.18
17588244 17589380 219.98
17589922 17597613 688.63
17598799 17603430 458.72
17604325 17625553 2553.94
17628719 17641390 1522.09
17641991 17655369 1457.09
17656059 17673289 2028.86
